Time,Busy UPFs
1752322.0,25
1752417.0,25
1752442.0,25
1752581.0,25
1752732.0,25
1752754.0,25
1752798.0,25
1752859.0,25
1752907.0,25
1752916.0,25
1752927.0,25
1752959.0,25
1753072.0,25
1753156.0,25
1753188.0,25
1753190.0,25
1753195.0,25
1753232.0,25
1753318.0,25
1753418.0,25
1753463.0,25
1753504.0,25
1753534.0,25
1753548.0,25
1753583.0,25
1753749.0,25
1753921.0,25
1753968.0,25
1753987.0,25
1754043.0,26
1754050.0,26
1754104.0,26
1754131.0,26
1754339.0,26
1754393.0,26
1754393.0,26
1754502.0,26
1754648.0,26
1754797.0,26
1754828.0,26
1754974.0,26
1754994.0,26
1755154.0,26
1755764.0,26
1755815.0,26
1755818.0,26
1755977.0,26
1755984.0,26
1756180.0,26
1756189.0,26
1756232.0,26
1756350.0,26
1756431.0,26
1756496.0,26
1756507.0,26
1756861.0,26
1756868.0,26
1756924.0,26
1757071.0,26
1757282.0,26
1757301.0,27
1757311.0,27
1757330.0,27
1757501.0,27
1757734.0,27
1757916.0,27
1757917.0,27
1757970.0,27
1758004.0,27
1758061.0,27
1758073.0,27
1758243.0,27
1758803.0,27
1758969.0,27
1759040.0,27
1759220.0,27
1759307.0,27
1759354.0,27
1759460.0,27
1759557.0,27
1759601.0,27
1759694.0,27
1759998.0,27
1760040.0,27
1760065.0,27
1760108.0,27
1760136.0,27
1760255.0,27
1760298.0,27
1760324.0,27
1760434.0,27
1760499.0,27
1760503.0,27
1760551.0,27
1760748.0,27
1761149.0,27
1761149.0,27
1761227.0,27
1761246.0,28
1761565.0,28
1761611.0,28
1761661.0,28
1761907.0,28
1761934.0,28
1761985.0,28
1762179.0,28
1762193.0,28
1762273.0,28
1762290.0,28
1762326.0,28
1762440.0,28
1762446.0,28
1762452.0,28
1762480.0,28
1762543.0,28
1762637.0,28
1762747.0,28
1762760.0,29
1762894.0,29
1762907.0,29
1762936.0,29
1763021.0,29
1763034.0,29
1763094.0,29
1763176.0,29
1763180.0,29
1763287.0,29
1763337.0,30
1763502.0,30
1763767.0,30
1763820.0,30
1763941.0,30
1763976.0,30
1764019.0,30
1764031.0,30
1764097.0,30
1764290.0,30
1764304.0,30
1764391.0,30
1764453.0,30
1764649.0,30
1764790.0,30
1764791.0,30
1764959.0,30
1764962.0,30
1764998.0,30
1765019.0,30
1765036.0,30
1765083.0,30
1765109.0,30
1765114.0,30
1765208.0,30
1765227.0,30
1765419.0,30
1765445.0,30
1765480.0,30
1765594.0,30
1765733.0,30
1765767.0,30
1766057.0,30
1766080.0,30
1766211.0,30
1766251.0,30
1766269.0,29
1766269.0,29
1766485.0,28
1766541.0,28
